ID,Synopsis,Title,MPAARating,Year,ViewerRating
Miles knew from years back who is going for a Master's in

Horticulture and plans to run a vineyard; and Maya's friend,

Stephanie (Sandra Oh), a slim, good-nature lover of the

pleasures of the motorcycle and, as we find out soon enough, of

the bedroom. 

 Just as comedy often involves psychological pain_the clown

who covers up his sadness by layering on it the big phony

smile_Miles's own pain evokes smiles and laughs from the

audience: not only the circumstance of his 750-page novel

which never does get published though he advertises himself as

A Writer, but also his inability to make connections with women;

though he does quite all right for a while with Maya. 

 As director Payne traverses the Santa Ynez area of California

with his performers, we get to smile at the way elderly people

are bussed into wine tastings, pretending to like the most

difficult grapes (such as Pinot); the way that Jack, having to

explain to his fianc_ the broken nose he receives from a woman

who feels rejected, deliberately crashes Miles's car into a tree to

give himself the excuse of a motor accident; the surprise we get

when we discover that Miles, the Mayven of the Grape, uses the

bottles to get drunk to escape temporarily from his low self

esteem and downright depression. 

 Alexander Payne, whose ""About Schmidt"" is a great human

comedy about a newly retired insurance agent who questions

his choices in life; and whose ""Election"" is a wickedly funny

satire on American politics, using a high-school contest to evoke

the roadblocks put in the way of a candidate by a teacher; now

gives us a picture that is not bitingly satirical like the latter but

more about his later film.  Two middle-aged men contemplate

the choices they have made in life.  Given the provisional

success that the divorced Miles has made with a woman who is

more down-to-earth than his wife, we have hope for him.  As for

Jack, he will not settle down, but given his randy ways and

inability genuinely to commit will probably be divorced within two

years.  ""Sideways"" is a tribute to the great character movies.

Conversation is the entree, slapstick a worthy side dish.  They

make wonderful music together.  

",Sideways,R,2004,3

826,"

The publicity campaign for ""Signs"" has remained wonderfully vague. We

see crop circles on the farm of an American family. We learn that

something very scary is happening. And that's about it. In that spirit,

I'll do my best to reveal as little as possible here, but be forewarned

that some thematic beans will be spilled.

 

Those of you hoping that writer/director/actor M. Night Shyamalan has

crafted a worthy successor to ""The Sixth Sense"" should know right up

front that he hasn't. ""Signs"" is more reminiscent of his second film,

""Unbreakable,"" with well-defined characters, a slow, meticulous,

suspenseful build-up and a pay-off that will leave most viewers crying,

""That's it?!?!"" Most of the film is quite entertaining, mixing scares

with welcome bits of humor. But the ending fizzles.

 

There are two storylines: one involving an isolated family facing a

threat from outside, and the other about a man's loss of faith. In both

cases, the presentation is gripping and the resolution unsatisfying.

 

Set in rural Pennsylvania, the tale centers on Graham Hess (Mel Gibson),

a minister who lost his faith and hung up his collar following the

tragic death of his wife (Patricia Kalember). Graham now sticks close to

the family farm, raising his children Morgan (Rory Culkin) and Bo

(Abigail Breslin) with the help of his younger brother Merrill (Joaquin

Phoenix).

 

Shyamalan opens the film stylishly, with a shot of the backyard seen

through a window in the house. At first glance, the image seems clear,

but it is actually distorted by warps in the clear pane of glass. For

the still grieving family, their already warped life becomes even more

distorted with the discovery of crop circles pressed in the cornfield.

""Are you in my dream, too?"" asks Abigail, a gorgeous little girl known

for leaving barely touched glasses of water all over the house after

deciding the liquid is ""contaminated."" Gazing at the stalks flattened

into geometric shapes, the asthmatic young Morgan says, ""I think God did

it.""

 

Graham meets up with a local police officer/old family friend (Cherry

Jones) and theorizes that the circles are the work of a trio of local

troublemakers, but the circles look too perfect, and how did the

cornstalks get bent without any being broken? Tension mounts that night

when an intruder is heard scurrying outside the house. The next day,

Abigail announces that something is wrong with the TV, because ""the same

thing is on all the channels."" Seconds later, the family stands

transfixed in front of the tube, watching a ""Breaking News"" report about

an epidemic of crop circles all around the world.

 

As the story builds, Shyamalan keeps the focus squarely on the family.

This is going to be a small film, by God, no matter what he has to do to

keep it that way. And that's where things go awry. My logic-meter

started buzzing during the first TV scene and went off at each

subsequent one. Shyamalan, a stickler for detail, gets TV all wrong,

presenting news reports that might have passed muster 50 years ago, but

not now.

 

Consider. Abigail is watching TV when suddenly ""the same thing is on all

the channels."" And what is that ""same thing""? A report on the crop

circles, with an image of one in India. So we are expected to believe

that every single TV station - network, independent and cable - chose

the same moment to cut to a single source for a report NOT of an

emergency, but of a growing curiosity. That is simply not how modern

reporting works.

 

This may sound like nit picking, but it speaks to a crucial problem with

Shyamalan's storytelling methods. In ""The Sixth Sense,"" the world

proceeded normally while we saw the point of view of the two key

characters. That was fine and fair. But in ""Signs,"" the Hess family

members (and we) are fed only tiny fragments of outside information. In

reality, as the situation became more extreme, NBC, ABC, CBS, CNN and

several other news networks would be in fierce competition to cover the

situation, with an unrelenting stream of professional and amateur

footage, analysis and interviews. In ""Signs,"" the world adapts to fit

the needs of the Hess family saga.

 

Shyamalan is determined to keep his story small. He has a clear place he

wants it to go and he cuts off anything that might interfere with him

reaching that end. As a result, our sense of being manipulated grows

almost as fast as the suspense, and the payoff, when it finally arrives,

feels both contrived and insufficient.

 

The other plotline, the one following Graham's loss of faith, is also
